,database,sampleID,nframes,wav_path,lips_path,transcription_path,delimiter,text_enc
0,LIP-RTVE,speaker000_0000,183,../data/LIP-RTVE/WAVs/speaker000/speaker000_0000.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0000.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0000.txt,5,utf-8
1,LIP-RTVE,speaker000_0001,110,../data/LIP-RTVE/WAVs/speaker000/speaker000_0001.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0001.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0001.txt,5,utf-8
2,LIP-RTVE,speaker000_0002,168,../data/LIP-RTVE/WAVs/speaker000/speaker000_0002.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0002.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0002.txt,5,utf-8
3,LIP-RTVE,speaker000_0003,316,../data/LIP-RTVE/WAVs/speaker000/speaker000_0003.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0003.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0003.txt,5,utf-8
4,LIP-RTVE,speaker000_0004,109,../data/LIP-RTVE/WAVs/speaker000/speaker000_0004.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0004.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0004.txt,5,utf-8
5,LIP-RTVE,speaker000_0005,149,../data/LIP-RTVE/WAVs/speaker000/speaker000_0005.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0005.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0005.txt,5,utf-8
6,LIP-RTVE,speaker000_0006,379,../data/LIP-RTVE/WAVs/speaker000/speaker000_0006.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0006.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0006.txt,5,utf-8
7,LIP-RTVE,speaker000_0007,299,../data/LIP-RTVE/WAVs/speaker000/speaker000_0007.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0007.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0007.txt,5,utf-8
8,LIP-RTVE,speaker000_0009,261,../data/LIP-RTVE/WAVs/speaker000/speaker000_0009.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0009.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0009.txt,5,utf-8
9,LIP-RTVE,speaker000_0010,219,../data/LIP-RTVE/WAVs/speaker000/speaker000_0010.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0010.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0010.txt,5,utf-8
10,LIP-RTVE,speaker000_0011,293,../data/LIP-RTVE/WAVs/speaker000/speaker000_0011.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0011.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0011.txt,5,utf-8
11,LIP-RTVE,speaker000_0013,378,../data/LIP-RTVE/WAVs/speaker000/speaker000_0013.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0013.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0013.txt,5,utf-8
12,LIP-RTVE,speaker000_0014,182,../data/LIP-RTVE/WAVs/speaker000/speaker000_0014.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0014.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0014.txt,5,utf-8
13,LIP-RTVE,speaker000_0015,135,../data/LIP-RTVE/WAVs/speaker000/speaker000_0015.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0015.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0015.txt,5,utf-8
14,LIP-RTVE,speaker000_0016,220,../data/LIP-RTVE/WAVs/speaker000/speaker000_0016.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0016.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0016.txt,5,utf-8
15,LIP-RTVE,speaker000_0017,229,../data/LIP-RTVE/WAVs/speaker000/speaker000_0017.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0017.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0017.txt,5,utf-8
16,LIP-RTVE,speaker000_0019,373,../data/LIP-RTVE/WAVs/speaker000/speaker000_0019.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0019.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0019.txt,5,utf-8
17,LIP-RTVE,speaker000_0020,256,../data/LIP-RTVE/WAVs/speaker000/speaker000_0020.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0020.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0020.txt,5,utf-8
18,LIP-RTVE,speaker000_0022,293,../data/LIP-RTVE/WAVs/speaker000/speaker000_0022.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0022.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0022.txt,5,utf-8
19,LIP-RTVE,speaker000_0024,116,../data/LIP-RTVE/WAVs/speaker000/speaker000_0024.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0024.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0024.txt,5,utf-8
20,LIP-RTVE,speaker000_0026,207,../data/LIP-RTVE/WAVs/speaker000/speaker000_0026.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0026.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0026.txt,5,utf-8
21,LIP-RTVE,speaker000_0027,160,../data/LIP-RTVE/WAVs/speaker000/speaker000_0027.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0027.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0027.txt,5,utf-8
22,LIP-RTVE,speaker000_0029,301,../data/LIP-RTVE/WAVs/speaker000/speaker000_0029.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0029.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0029.txt,5,utf-8
23,LIP-RTVE,speaker000_0030,197,../data/LIP-RTVE/WAVs/speaker000/speaker000_0030.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0030.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0030.txt,5,utf-8
24,LIP-RTVE,speaker000_0031,65,../data/LIP-RTVE/WAVs/speaker000/speaker000_0031.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0031.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0031.txt,5,utf-8
25,LIP-RTVE,speaker000_0032,171,../data/LIP-RTVE/WAVs/speaker000/speaker000_0032.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0032.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0032.txt,5,utf-8
26,LIP-RTVE,speaker000_0035,196,../data/LIP-RTVE/WAVs/speaker000/speaker000_0035.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0035.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0035.txt,5,utf-8
